id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
321157,NZ-0024,heliport,"Wairakei Helipad",-38.643244,176.088245,,OC,"New Zealand",NZ,"Waikato Region",NZ-WKO,WKO,Taupo,0,NZHF,,,http://www.helicoptertours.co.nz/,,"Huka Falls",0,2022-09-15T11:35:01+00:00
329325,NZOT,small_airport,"Otaki Airport",-40.785582,175.1513,114,OC,"New Zealand",NZ,"Wellington Region",NZ-WGN,WGN,Otaki,1,NZOT,,,,,,100,2018-09-23T02:14:31+00:00
326631,NZ-0026,small_airport,"Pitt Island Aerodrome",-44.293167,-176.203476,,OC,"New Zealand",NZ,"Wellington Region",NZ-WGN,WGN,"Pitt Island",1,NZPT,,,,https://en.wikipedia.org/wiki/Pitt_Island,,100,2021-10-14T17:33:51+00:00
30002,NZKF,small_airport,"Kaipara Flats Airport",-36.40639877319336,174.58700561523438,112,OC,"New Zealand",NZ,"Auckland Region",NZ-AUK,AUK,,0,NZKF,,,,,,50,2008-07-18T11:34:53+00:00
30208,NZOX,small_airport,"Okiwi Station Airport",-36.146400451660156,175.41900634765625,10,OC,"New Zealand",NZ,"Auckland Region",NZ-AUK,AUK,,0,NZOX,,,,,,50,2008-07-18T11:39:44+00:00
30242,NZPI,small_airport,"Parakai Aerodrome",-36.65190124511719,174.43600463867188,49,OC,"New Zealand",NZ,"Auckland Region",NZ-AUK,AUK,,0,NZPI,,,,,,50,2008-07-18T11:35:17+00:00
30433,NZSL,small_airport,"Springhill Airport",-36.32360076904297,174.55599975585938,102,OC,"New Zealand",NZ,"Auckland Region",NZ-AUK,AUK,,0,NZSL,,,,,,50,2008-07-18T11:34:33+00:00
30556,NZWJ,small_airport,"Wellsford Airport",-36.29690170288086,174.5229949951172,194,OC,"New Zealand",NZ,"Auckland Region",NZ-AUK,AUK,,0,NZWJ,,,,,,50,2008-07-18T11:34:13+00:00
30217,NZOP,small_airport,"Opotiki Airport",-38.022499084472656,177.3070068359375,30,OC,"New Zealand",NZ,"Bay of Plenty Region",NZ-BOP,BOP,,0,NZOP,,,,,,50,2008-07-18T10:47:51+00:00
30546,NZWV,small_airport,"Waihi Beach Airport",-37.43000030517578,175.95199584960938,3,OC,"New Zealand",NZ,"Bay of Plenty Region",NZ-BOP,BOP,,0,NZWV,,,,,,50,2008-07-18T10:51:46+00:00
42505,NZ-0009,small_airport,"Manuka Point Lodge Airstrip",-43.274559020996094,171.21755981445312,1800,OC,"New Zealand",NZ,"Canterbury Region",NZ-CAN,CAN,,0,,,,http://www.manukapoint.com,,,50,2008-11-23T19:48:11+00:00
43198,NZ-0016,small_airport,"Cape Campbell airstrip",-41.74589920043945,174.27200317382812,,OC,"New Zealand",NZ,"Marlborough Region",NZ-MBH,MBH,,0,,,,,https://en.wikipedia.org/wiki/Cape_Campbell,,50,2009-01-29T06:36:03+00:00
5053,NZRU,small_airport,"Waiouru Airport",-39.4463996887207,175.6580047607422,2686,OC,"New Zealand",NZ,"Manawatu-Wanganui Region",NZ-MWT,MWT,,0,NZRU,,,,https://en.wikipedia.org/wiki/Waiouru_Army_Camp,,50,2008-06-13T14:30:04+00:00
29876,NZFP,small_airport,"Foxpine Aerodrome",-40.45669937133789,175.27000427246094,39,OC,"New Zealand",NZ,"Manawatu-Wanganui Region",NZ-MWT,MWT,,0,NZFP,,,,,,50,2008-07-18T11:09:09+00:00
30473,NZTM,small_airport,"Taumarunui Airport",-38.83940124511719,175.26199340820312,902,OC,"New Zealand",NZ,"Manawatu-Wanganui Region",NZ-MWT,MWT,,0,NZTM,,,,,,50,2008-07-18T11:28:35+00:00
29817,NZDA,small_airport,"Dargaville Aerodrome",-35.939701080322266,173.8939971923828,10,OC,"New Zealand",NZ,"Northland Region",NZ-NTL,NTL,,0,NZDA,DGR,,,https://en.wikipedia.org/wiki/Dargaville_Aerodrome,,50,2008-07-18T11:55:20+00:00
30108,NZMG,heliport,"Mangonui Heliport",-34.995601654052734,173.46400451660156,3,OC,"New Zealand",NZ,"Northland Region",NZ-NTL,NTL,,0,NZMG,,,,,,50,2008-07-18T11:29:15+00:00
30232,NZPA,small_airport,"Paihia Private Airport",-35.28219985961914,174.09100341796875,20,OC,"New Zealand",NZ,"Northland Region",NZ-NTL,NTL,,0,NZPA,,,,,,50,2008-07-18T11:29:58+00:00
30352,NZRW,small_airport,"Ruawai Aerodrome",-36.097198486328125,173.9770050048828,62,OC,"New Zealand",NZ,"Northland Region",NZ-NTL,NTL,,0,NZRW,,,,,,50,2008-07-18T11:33:21+00:00
