WARD2015_V1_00,WARD2015_V1_00_NAME,AREA_SQ_KM,LAND_AREA_SQ_KM
3103,Nelson Park Ward,7.59185306,7.591855045
3104,Taradale Ward,55.24638626,55.24638316
3201,Aramoana-Ruahine Ward,3273.076662,3273.080579
3202,Ruataniwha Ward,59.96215066,59.13381026
3301,New Plymouth City Ward,111.2855503,111.2853946
3302,North Ward,1156.894556,1156.897115
3303,South-West Ward,937.2326039,937.2292195
3401,Stratford Rural Ward,2154.882537,2154.881317
3402,Stratford Urban Ward,8.53802233,8.538015515
3501,Egmont Plains Ward,860.3704929,860.3705075
3502,Eltham Ward,538.1580652,538.1606515
3503,Tangahoe Ward,491.3245592,491.3245028
3504,Hawera-Normanby Ward,17.26700982,17.26706681
3505,Patea Ward,1667.976325,1667.978177
3601,Ohura Ward,2011.729562,2011.697873
3602,Taumarunui Ward,635.449994,635.4818444
3603,National Park Ward,1375.271724,1375.271738
3604,Waimarino-Waiouru Ward,2711.731981,2711.968227
3799,Area Outside Ward,2373.224414,2373.222564
3801,Taihape Ward,3091.593932,3091.561671
3802,Hunterville Ward,650.362451,650.4009272
3803,Bulls Ward,272.6448793,272.6462391
3804,Marton Ward,206.1987098,206.1609492
3805,Turakina Ward,262.9755481,262.9748331
3901,Northern Manawatu Rural Ward,1904.669984,1904.669773
